colname,selectcol,new_colname
Abundance.F43.Light.Sample,Yes,Sample.c.Swap_buffer25
Abundance.F43.Heavy.Sample,Yes,Control.c.Swap_buffer25
Abundance.F44.Light.Sample,Yes,Sample.d.Swap_buffer25
Abundance.F44.Heavy.Sample,Yes,Control.d.Swap_buffer25
Abundance.F45.Light.Sample,Yes,Sample.a.Swap_buffer29
Abundance.F45.Heavy.Sample,Yes,Control.a.Swap_buffer29
Abundance.F46.Light.Sample,Yes,Sample.b.Swap_buffer29
Abundance.F46.Heavy.Sample,Yes,Control.b.Swap_buffer29
Abundance.F47.Light.Sample,Yes,Sample.c.Swap_buffer29
Abundance.F47.Heavy.Sample,Yes,Control.c.Swap_buffer29
Abundance.F48.Light.Sample,Yes,Sample.d.Swap_buffer29
Abundance.F48.Heavy.Sample,Yes,Control.d.Swap_buffer29
Abundances.Count.F1.Light.Sample,,
Abundances.Count.F1.Heavy.Sample,,
Abundances.Count.F2.Light.Sample,,
Abundances.Count.F2.Heavy.Sample,,
Abundances.Count.F3.Light.Sample,,
Abundances.Count.F3.Heavy.Sample,,
Abundances.Count.F4.Light.Sample,,
Abundances.Count.F4.Heavy.Sample,,
Abundances.Count.F5.Light.Sample,,
Abundances.Count.F5.Heavy.Sample,,
Abundances.Count.F6.Light.Sample,,
Abundances.Count.F6.Heavy.Sample,,
Abundances.Count.F7.Light.Sample,,
Abundances.Count.F7.Heavy.Sample,,
Abundances.Count.F8.Light.Sample,,
Abundances.Count.F8.Heavy.Sample,,
Abundances.Count.F9.Light.Sample,,
Abundances.Count.F9.Heavy.Sample,,
Abundances.Count.F10.Light.Sample,,
Abundances.Count.F10.Heavy.Sample,,
Abundances.Count.F11.Light.Sample,,
Abundances.Count.F11.Heavy.Sample,,
Abundances.Count.F12.Light.Sample,,
Abundances.Count.F12.Heavy.Sample,,
Abundances.Count.F13.Light.Sample,,
Abundances.Count.F13.Heavy.Sample,,
Abundances.Count.F14.Light.Sample,,
Abundances.Count.F14.Heavy.Sample,,
Abundances.Count.F15.Light.Sample,,
Abundances.Count.F15.Heavy.Sample,,
Abundances.Count.F16.Light.Sample,,
Abundances.Count.F16.Heavy.Sample,,
Abundances.Count.F17.Light.Sample,,
Abundances.Count.F17.Heavy.Sample,,
Abundances.Count.F18.Light.Sample,,
Abundances.Count.F18.Heavy.Sample,,
Abundances.Count.F19.Light.Sample,,
Abundances.Count.F19.Heavy.Sample,,
Abundances.Count.F20.Light.Sample,,
Abundances.Count.F20.Heavy.Sample,,
Abundances.Count.F21.Light.Sample,,
Abundances.Count.F21.Heavy.Sample,,
Abundances.Count.F22.Light.Sample,,
Abundances.Count.F22.Heavy.Sample,,
Abundances.Count.F23.Light.Sample,,
Abundances.Count.F23.Heavy.Sample,,
Abundances.Count.F24.Light.Sample,,
Abundances.Count.F24.Heavy.Sample,,
Abundances.Count.F25.Light.Sample,,
Abundances.Count.F25.Heavy.Sample,,
Abundances.Count.F26.Light.Sample,,
Abundances.Count.F26.Heavy.Sample,,
Abundances.Count.F27.Light.Sample,,
Abundances.Count.F27.Heavy.Sample,,
Abundances.Count.F28.Light.Sample,,
Abundances.Count.F28.Heavy.Sample,,
Abundances.Count.F29.Light.Sample,,
Abundances.Count.F29.Heavy.Sample,,
Abundances.Count.F30.Light.Sample,,
Abundances.Count.F30.Heavy.Sample,,
Abundances.Count.F31.Light.Sample,,
Abundances.Count.F31.Heavy.Sample,,
Abundances.Count.F32.Light.Sample,,
Abundances.Count.F32.Heavy.Sample,,
Abundances.Count.F33.Light.Sample,,
Abundances.Count.F33.Heavy.Sample,,
Abundances.Count.F34.Light.Sample,,
Abundances.Count.F34.Heavy.Sample,,
Abundances.Count.F35.Light.Sample,,
Abundances.Count.F35.Heavy.Sample,,
Abundances.Count.F36.Light.Sample,,
Abundances.Count.F36.Heavy.Sample,,
Abundances.Count.F37.Light.Sample,,
Abundances.Count.F37.Heavy.Sample,,
Abundances.Count.F38.Light.Sample,,
