Accession,Gene
Q6UXN7,TOMM20L
E9PHD0,UBE2Q2
Q14532,KRT32
O43447,PPIH
P05387,RPLP2
Q92621,NUP205
O75899,GABBR2
P27348,YWHAQ
Q9UI42,CPA4
O95376,ARIH2
Q12996,CSTF3
P15515,HTN1
P30049,ATP5F1D
P07476,IVL
P41250,GARS1
Q9H0D6,XRN2
P80188,LCN2
C9JA05,JCHAIN
Q5TCU3,TPM2
P08133,ANXA6
A0A0A0MS14,IGHV1-45
Q9NWD9,BEX4
A0A0U1RQT9,SYPL1
F8WB72,RPL35A
P06312,IGKV4-1
Q96EC8,YIPF6
J3KSI8,MRPS7
Q8NHM4,PRSS3P2
Q5XKE5,KRT79
P08311,CTSG
H7C4V2,U2SURP
P04632,CAPNS1
P13929,ENO3
O75934,BCAS2
Q8IUH4,ZDHHC13
P05164,MPO
Q9UJZ1,STOML2
A0A286YEY4,IGHG2
A6NLM8,SSR4
G8JL96,PTPRS
Q08380,LGALS3BP
Q9H173,SIL1
P62857,RPS28
Q5T5P1,KIAA1217
Q8NHP8,PLBD2
B4DP31,PRPSAP1
Q9C075,KRT23
P04181,OAT
P17900,GM2A
O43347,MSI1
Q5T6F2,UBAP2
H0Y804,AKR1C1
O43548,TGM5
E7EN95,FLNB
Q8N1N4,KRT78
O75607,NPM3
P48594,SERPINB4
Q96J88,EPSTI1
X6RFL8,RAB14
P28325,CST5
P00505,GOT2
Q7Z3Y8,KRT27
O43852,CALU
Q9H4B4,PLK3
Q96C36,PYCR2
Q99832,CCT7
Q9BPW8,NIPSNAP1
Q14498,RBM39
A0A590UK92,TERT
C9J6N9,UFD1
Q7Z406,MYH14
P34931,HSPA1L
Q2TAY7,SMU1
Q9H307,PNN
Q15021,NCAPD2
Q04941,PLP2
J3QR68,HP
A0A494C0L6,TYMP
O15260,SURF4
A0A087WYD1,AP2B1
A0A087X1X5,CNN2
A0A087WV01,EEF1A1
A0A3B3ITX4,0
C9J3L8,SSR1
P20933,AGA
P55795,HNRNPH2
F5H423,
O60911,CTSV
Q01780,EXOSC10
K7ER16,FARSA
F5GXS0,C4B
Q96QA5,GSDMA
P62820,RAB1A
Q9Y3B4,SF3B6
Q96AE4,FUBP1
