"accession","mu","sd.x","idirt_mu","sd.y","contaminant"
"101","P40926",0.480079798484957,0.130186511949022,0.330976916422226,0.0933890448048633,"no"
"102","P68104",0.641258683152507,0.138692951093272,0.67548409069329,0.11545438338563,"no"
"103","Q13867",0.825790751254672,0.10793097662052,0.225685172460171,0.139879486848303,"no"
"106","P08670",0.623593506413991,0.0871229686615098,0.251625489207269,0.0592598193269932,"no"
"107","Q08554",0.865406571783581,0.0844375374228103,0.142134723318464,0.0891471301841627,"no"
"108","P17931",0.675113655657885,0.137844487659612,0.5,0.5,"no"
"109","A0A5F9ZHM4",0.530164090942006,0.143857042470984,0.725277791243665,0.093946018073862,"no"
"110","Q9UI42",0.782478110781065,0.126368416784174,0.5,0.5,"no"
"111","P17302",0.601649135087494,0.0883670084475813,0.153758855959616,0.0640517193100254,"no"
"113","P20700",0.36520001754376,0.150600665020226,0.223231718472118,0.0722612617783603,"no"
"115","P26641",0.716661093678075,0.158116661024655,0.514031970862391,0.192851638478154,"no"
"117","P49768",0.589818212584273,0.196188087284192,0.501565790412326,0.185479369977137,"no"
"118","P14625",0.713853987593458,0.158953725979763,0.488089857033266,0.158027944049413,"no"
"119","P30101",0.673651358461536,0.134463269526227,0.485987369486588,0.11575649556609,"no"
"120","Q6ZVX7",0.659206313767203,0.181991247981759,0.5,0.5,"no"
"121","E7EQB2",0.751480033645767,0.145388618382095,0.132358515823272,0.0866153537981116,"no"
"122","P50914",0.704608821636849,0.151541890542566,0.5,0.5,"no"
"123","P10599",0.804649602013387,0.117304723997032,0.221603741664828,0.132151392366537,"no"
"124","Q9NVI7",0.440191711692879,0.168489965250515,0.42189129116208,0.126860160454522,"no"
"125","P02790",0.83063369532956,0.106035698943142,0.5,0.5,"no"
"126","P29508",0.833462846034096,0.105418434985774,0.180665398214525,0.109984400592884,"no"
"128","P62269",0.566184262222537,0.153719593924965,0.45492634441178,0.131397865206899,"no"
"130","Q01650",0.77261347534143,0.131541505663959,0.760623579450614,0.115532284732367,"no"
"131","Q9UJV9",0.394832006029769,0.203599738282176,0.5,0.5,"no"
"132","P08865",0.66621089444853,0.135745555310723,0.489319560255497,0.143111262955406,"no"
"133","P13073",0.484481343229068,0.140350783770346,0.465865762666782,0.13998383212948,"no"
"134","P05413",0.593793682064167,0.206504909752101,0.5,0.5,"no"
"136","O75223",0.780057182643509,0.129299443773334,0.5,0.5,"no"
"137","P60174",0.599412427033611,0.204334766645328,0.286472281072961,0.1632484206051,"no"
"138","P39656",0.360940598224327,0.169722174261576,0.39146627535562,0.14891887605086,"no"
"139","P07737",0.830777065298743,0.103997660305831,0.336124321629876,0.133861842924439,"no"
"140","P63104",0.780780797197666,0.130324444478704,0.5,0.5,"no"
"141","P05089",0.801594725284262,0.121290186334257,0.32654505270933,0.17724618276994,"no"
"142","P19652",0.817127235140412,0.113238690772007,0.5,0.5,"no"
"143","P01876",0.842980694730026,0.0944249464641065,0.179258769618115,0.111870885640678,"no"
"144","P16422",0.598135217165509,0.196071231067615,0.660473735647396,0.179717988825272,"no"
"145","P05388",0.748317382398094,0.146599190437589,0.514779446540091,0.184323405018691,"no"
"146","P62805",0.745199800860566,0.0803978739883623,0.280168305481313,0.0841390046863162,"no"
"147","P69905",0.879221386872987,0.0767939634287007,0.5,0.5,"no"
"148","P02763",0.835904335899542,0.0999454122898216,0.5,0.5,"no"
"149","P07237",0.797991433073015,0.12027888120085,0.195315959884118,0.118144128880153,"no"
"150","P05023",0.907619606018552,0.0590913361124185,0.834065260404353,0.100408018677914,"no"
"151","P02647",0.672801203184898,0.177776237125066,0.5,0.5,"no"
"152","P35030",0.77684327426497,0.132741370105487,0.187339590658329,0.110692537289025,"no"
"153","P62906",0.56623256736508,0.176470210697666,0.251980052477107,0.140215919728316,"no"
"154","O43175",0.720186520432507,0.153693800519523,0.599221116828571,0.13867619172576,"no"
"155","P68871",0.776036845631872,0.132723784531096,0.115839234621613,0.0757799137694825,"no"
"156","P61353",0.597139756486889,0.200720479192295,0.5,0.5,"no"
"157","H7C463",0.562885401457707,0.16906680459778,0.419814686783046,0.177823998460209,"no"
"158","A0A0B4J231",0.716205056937383,0.160048760953593,0.5,0.5,"no"
"159","A0A024QZ42",0.438811664436529,0.184446460997466,0.5,0.5,"no"
"160","P68133",0.396353501393466,0.155031414683652,0.5,0.5,"no"
"161","Q16777",0.745049631448915,0.145119049146538,0.5,0.5,"no"
