ACCESSION,name
Q13263,TRIM28
P28066,PSMA5
P61026,RAB10
B0QYK0,EWSR1
B5MDF5,RAN
P49756,RBM25
Q53RT3,None
Q6UN15,FIP1L1
P24539,ATP5PB
A8K2U0,A2ML1
P62316,SNRPD2
P62314,SNRPD1
P46783,RPS10
P46783,RPS10
P35579,MYH9
Q08211,DHX9
Q9P035,HACD3
P62995,TRA2B
Q9HCY8,S100A14
P50402,EMD
H3BVG0,NUP93
Q5T749,KPRP
B7Z6Z4,MYL6
D6RFH4,CYB5B
F5GXS2,ACTN4
A0A0B4J231,IGLL5
Q8IW75,SERPINA12
P56537,EIF6
F5H423,None
Q13835,PKP1
O43347,MSI1
B8ZZL8,HSPE1
P0DP25,CALM3
P0DP25,CALM3
P25786,PSMA1
O75342,ALOX12B
E7EPA1,PRPSAP2
Q15393,SF3B3
Q16610,ECM1
P05387,RPLP2
Q15717,ELAVL1
E9PQD7,RPS2
Q15828,CST6
O75400,PRPF40A
O00571,DDX3X
Q96I24,FUBP3
P28070,PSMB4
Q9Y2W1,THRAP3
A0A087X2D0,SRSF3
A0A087X2D0,SRSF3
O75635,SERPINB7
A8MUD9,RPL7
P27824,CANX
Q9HAU0,PLEKHA5
P27708,CAD
P00390,GSR
P00390,GSR
Q9Y6C9,MTCH2
P0DPA2,VSIG8
