Accession,Gene names,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
,,,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor,H/(H+L),Bayes Factor
Q02383,SEMG2,0,0.22,6.66,0.17,1.33,0.42,-0.02,0.07,8.38,0.47,-0.72,0.11,2.47
P68104,EEF1A1,0,0.59,-0.29,0.54,-0.69,0.59,-0.04,0.53,-0.85,0.63,1.12,0.64,1.35
Q7Z794,KRT77,0,0.07,17.88,0.07,20.06,0.07,20.33,0.01,26.39,0.15,11.07,0.15,11.24
Q92945,KHSRP,0,0.5,-0.82,0.5,-0.83,0.46,-0.78,0.39,-0.45,0.49,-0.72,0.43,-0.42
P31944,CASP14,0,0.14,12.05,0.11,16.17,0.06,22.01,0.02,24.92,0.1,14.14,0.13,13.04
F8W6I7,HNRNPA1,0,0.36,-0.26,0.25,5.45,0.39,0.07,0.41,-0.42,0.44,-0.47,0.36,0.68
P07355,ANXA2,0,0.52,-0.73,0.34,1,0.28,4.22,0.18,6.57,0.44,-0.57,0.45,-0.67
Q14677,CLINT1,0,0.62,1.32,0.59,0.52,0.44,-0.62,0.65,1.71,0.67,0.64,0.54,-0.82
Q99623,PHB2,0,0.42,0.28,0.43,-0.5,0.42,-0.49,0.31,3.21,0.42,-0.43,0.43,-0.59
P04792,HEL-S-102,0,0.43,-0.62,0.44,-0.5,0.37,0.04,0.19,8.53,0.52,-0.71,0.46,-0.58
P35232,PHB,0,0.37,0.04,0.26,4.78,0.46,-0.79,0.38,1.63,0.42,-0.44,0.45,-0.75
Q9NVI7,ATAD3A,0,0.43,-0.62,0.43,0.23,0.44,-0.64,0,0,0.5,-0.83,0.53,-0.67
P31943,HNRNPH1,0,0.4,-0.31,0.39,-0.3,0.43,-0.6,0.4,1.91,0.43,-0.6,0.44,-0.6
A0A2R8Y6G6,ENO1,0,0.17,9.58,0.23,6.14,0.2,6.45,0.14,13.21,0.33,1.52,0.31,2.3
A0A3B3ITD8,NUP98,0,0.38,0.61,0.41,-0.43,0.5,-0.83,0,0,0,0,0,0
P06748,NPM1,0,0.25,4.33,0.17,8.89,0.41,0.28,0,0,0.43,-0.52,0,0
P02768,ALB,0,0.01,25.91,0.01,26.23,0.01,27.53,0.01,26.38,0.02,24.56,0.01,26.55
P62805,H4C1,0,0.3,3.27,0.22,7.2,0.24,5.54,0.27,4.39,0.38,0.05,0.27,3.79
Q08188,TGM3,0,0.06,17.95,0.06,7.33,0.08,20.17,0.06,20.92,0.09,5.01,0,0
P05141,SLC25A5,0,0.4,1.54,0.32,5.03,0.42,-0.75,0.41,-0.68,0.38,0.04,0.43,-0.85
P12236,SLC25A6,0,0.46,-0.77,0.45,-0.65,0.48,-0.83,0.48,-0.5,0.48,-0.85,0.48,-0.85
P29508,SERPINB3,0,0.46,-0.75,0.24,2.14,0.1,15.41,0.31,-0.27,0.51,-0.82,0.45,-0.85
Q01546,KRT76,0,0.02,24.93,0,0,0.09,19.22,0.01,27.18,0.03,23.66,0.03,24.53
P19013,KRT4,0,0.55,-0.12,0.4,1.59,0.26,4.18,0.12,14.9,0.62,-0.2,0.53,-0.58
P61978,HNRNPK,0,0.42,-0.08,0.31,0.8,0.32,2.05,0.33,0.66,0.39,0.31,0.38,0.29
P14618,HEL-S-30,0,0.53,-0.56,0.31,3.04,0.38,-0.14,0.3,5.05,0.55,-0.66,0.49,-0.83
Q00839,HNRNPU,0,0.33,0.59,0.3,2.3,0.35,0.99,0.3,2.63,0.34,0.89,0.34,2.13
Q9GZT3,SLIRP,0,0.22,7.14,0.37,0.79,0.31,1.84,0,0,0.42,-0.44,0.42,-0.52
Q9NZT1,CALML5,0,0.55,-0.52,0.37,0.17,0.1,16.47,0.02,23.2,0.51,-0.85,0.2,6.71
Q6KB66,KRT80,0,0.07,18.58,0.08,18.98,0.08,20.62,0.01,25.45,0.18,9.83,0.16,12.46
B4DY08,HNRNPC,0,0.45,-0.44,0.36,0.42,0.44,-0.69,0.34,2.76,0.47,-0.78,0.48,-0.84
Q8WU79,SMAP2,0,0.57,-0.15,0.51,-0.79,0.49,-0.85,0,0,0,0,0,0
A0A087X0X3,HNRNPM,0,0.42,-0.75,0.43,-0.35,0.39,0.02,0.37,-0.71,0.44,-0.71,0.41,-0.43
P52597,HNRNPF,0,0.62,1.42,0.41,0.53,0.38,0.33,0.24,2.21,0.41,-0.41,0.4,0.09
J3QTR3,HEL112,0,0.51,-0.85,0.31,2.47,0.43,-0.57,0.21,9.56,0.52,-0.78,0.5,-0.85
P16403,H1-2,0,0.09,14.37,0.28,3.17,0.2,9.93,0.23,9.66,0.35,1.21,0.21,7.07
Q08554,DSC1,0,0.53,-0.42,0.32,1.95,0.14,11.85,0.2,9.82,0.42,-0.81,0.2,6.38
P14625,HEL-S-125m,0,0.43,-0.83,0.34,0.26,0.64,1.24,0.39,2.34,0.34,-0.63,0.5,-0.83
Q6UWP8,SBSN,0,0.26,4.97,0.04,20.93,0,0,0.26,2.7,0.05,22.41,0.03,11.92
Q9Y5A9,YTHDF2,0,0.15,11.73,0.34,1.36,0.41,-0.35,0.08,20.71,0.23,5.81,0.26,5.33
P20700,LMNB1,0,0.1,13.62,0.24,9.07,0.22,5.42,0.15,9.32,0.29,3.14,0.25,3.8
P40926,MDH2,0,0.25,2.47,0.19,8.73,0.24,5.61,0.16,12.19,0.28,3.2,0.29,3.1
P23396,RPS3,0,0.44,-0.4,0.32,1.82,0.47,-0.77,0.36,1.55,0.46,-0.81,0.43,-0.5
Q06830,PRDX1,0,0.47,-0.61,0.31,1.86,0.44,-0.61,0.29,5.8,0.54,-0.62,0.53,-0.69
P31151,S100A7,0,0.24,4.26,0.4,-0.25,0.03,23.63,0.07,16.89,0.2,6.85,0.21,7.84
P04040,CAT,0,0.14,8.42,0.38,0.76,0.24,6.92,0.27,4.74,0.27,3.07,0.49,0.07
A0A087WVQ6,CLTC,0,0.44,-0.68,0.42,-0.66,0.57,0.05,0,0,0.56,-0.07,0.5,-0.85
Q9H8K7,PAAT,0,0.23,3.44,0,0,0.07,21.05,0.15,12.54,0,0,0,0
Q16777,H2AC20,0,0.25,6.3,0.23,7.34,0.31,2.79,0.26,5.5,0.38,0.18,0.33,1.99
P13639,EEF2,0,0.02,24,0.05,21.45,0.12,16.74,0.02,25.47,0.11,13.91,0.1,14.63
P23246,SFPQ,0,0.12,12.67,0.15,13.31,0.38,0.25,0.26,4.5,0.37,0.4,0.37,0.32
